id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tempat_umum,jumlah_tempat_umum,satuan,tahun
249,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HOTEL BINTANG,0,UNIT,2019
250,32,JAWA BARAT,3207,KABUPATEN CIAMIS,HOTEL NON BINTANG,0,UNIT,2019
251,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TEMPAT IBADAH,2027,UNIT,2019
252,32,JAWA BARAT,3207,KABUPATEN CIAMIS,PASAR,18,UNIT,2019
253,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SD,492,UNIT,2019
254,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMP,74,UNIT,2019
255,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SMA,50,UNIT,2019
256,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PUSKESMAS,37,UNIT,2019
257,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,RUMAH SAKIT,9,UNIT,2019
258,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HOTEL BINTANG,0,UNIT,2019
259,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,HOTEL NON BINTANG,0,UNIT,2019
260,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TEMPAT IBADAH,504,UNIT,2019
261,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,PASAR,11,UNIT,2019
262,32,JAWA BARAT,3209,KABUPATEN CIREBON,SD,733,UNIT,2019
263,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMP,183,UNIT,2019
264,32,JAWA BARAT,3209,KABUPATEN CIREBON,SMA,109,UNIT,2019
265,32,JAWA BARAT,3209,KABUPATEN CIREBON,PUSKESMAS,54,UNIT,2019
266,32,JAWA BARAT,3209,KABUPATEN CIREBON,RUMAH SAKIT,6,UNIT,2019
267,32,JAWA BARAT,3209,KABUPATEN CIREBON,HOTEL BINTANG,0,UNIT,2019
268,32,JAWA BARAT,3209,KABUPATEN CIREBON,HOTEL NON BINTANG,0,UNIT,2019
269,32,JAWA BARAT,3209,KABUPATEN CIREBON,TEMPAT IBADAH,1833,UNIT,2019
270,32,JAWA BARAT,3209,KABUPATEN CIREBON,PASAR,194,UNIT,2019
271,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SD,552,UNIT,2019
272,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMP,132,UNIT,2019
273,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SMA,78,UNIT,2019
274,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PUSKESMAS,32,UNIT,2019
275,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,RUMAH SAKIT,3,UNIT,2019
276,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HOTEL BINTANG,0,UNIT,2019
277,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,HOTEL NON BINTANG,0,UNIT,2019
278,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TEMPAT IBADAH,462,UNIT,2019
279,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,PASAR,11,UNIT,2019
280,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SD,466,UNIT,2019
281,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SMP,111,UNIT,2019
